alias_id,drug_id,alias_name,alias_type,normalized_alias,created_at
1,1001,布洛芬,short_name,布洛芬,1715817600
2,1001,退烧药,ocr_token,退烧药,1715817600
3,1002,阿莫西林,short_name,阿莫西林,1715817600
4,1002,消炎药,ocr_token,消炎药,1715817600
5,1003,二甲双胍,short_name,二甲双胍,1715817600
6,1003,降糖药,ocr_token,降糖药,1715817600
7,1004,对乙酰氨基酚,short_name,对乙酰氨基酚,1715817600
8,1004,扑热息痛,ocr_token,扑热息痛,1715817600
9,1005,氯雷他定,short_name,氯雷他定,1715817600
10,1005,过敏药,ocr_token,过敏药,1715817600
11,1006,蒙脱石散,short_name,蒙脱石散,1715817600
12,1006,止泻药,ocr_token,止泻药,1715817600
13,1007,氯沙坦,short_name,氯沙坦,1715817600
14,1007,降压药,ocr_token,降压药,1715817600
15,1008,硝苯地平,short_name,硝苯地平,1715817600
16,1008,高血压药,ocr_token,高血压药,1715817600
17,1009,阿司匹林,short_name,阿司匹林,1715817600
18,1009,抗血小板药,ocr_token,抗血小板药,1715817600
